enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_type,last_new_job,training_hours,target,company_size_from,company_size_to
16110,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,private limited company,3,60,1,50,99
24530,city_114,0.926,Male,No relevent experience,no_enrollment,Graduate,STEM,12,private limited company,5,7,0,100,500
24829,city_103,0.92,Male,No relevent experience,no_enrollment,Masters,Humanities,3,private limited company,1,133,1,10000,99999
1265,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,Funded Startup,1,76,0,1,10
13342,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,Other,8,private limited company,2,34,0,5000,9999
24608,city_160,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,9,private limited company,2,15,0,1,10
24796,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,private limited company,5,15,0,5000,9999
3396,city_67,0.855,Male,Has relevent experience,Part time course,Graduate,STEM,6,private limited company,0,102,0,500,999
31786,city_103,0.92,Male,No relevent experience,no_enrollment,Phd,STEM,21,private limited company,5,14,0,50,99
23455,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,private limited company,4,49,1,10000,99999
28817,city_89,0.925,Male,Has relevent experience,Full time course,Graduate,STEM,14,private limited company,3,141,1,5000,9999
7280,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,private limited company,1,6,0,10000,99999
16903,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,No Major,17,private limited company,1,125,0,5000,9999
26241,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,21,private limited company,2,33,0,100,500
32092,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,15,private limited company,5,55,0,10000,99999
3766,city_150,0.698,Male,No relevent experience,no_enrollment,Graduate,STEM,21,private limited company,5,32,0,500,999
30496,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,21,private limited company,5,11,0,100,500
7189,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,private limited company,1,41,0,1,10
29497,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,21,Public Sector,5,87,1,10000,99999
31593,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,10,private limited company,4,114,0,100,500
11986,city_90,0.698,Male,Has relevent experience,Part time course,Masters,STEM,5,Early Stage Startup,1,15,0,1,10
3728,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,21,private limited company,4,13,0,5000,9999
3024,city_98,0.949,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,Public Sector,1,246,0,1,10
23508,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,9,private limited company,1,22,0,10,49
29457,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,21,Funded Startup,1,81,0,1,10
3065,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,Funded Startup,1,50,0,100,500
5493,city_28,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,21,private limited company,5,31,0,10,49
2891,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,21,private limited company,0,84,0,50,99
32509,city_136,0.897,Male,Has relevent experience,Part time course,Graduate,STEM,4,private limited company,1,42,0,10000,99999
907,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,21,private limited company,5,72,0,50,99
29526,city_115,0.789,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,private limited company,5,42,1,10,49
10956,city_94,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,Early Stage Startup,1,152,0,50,99
26099,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,private limited company,1,60,0,10000,99999
706,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,4,Funded Startup,0,38,0,100,500
9890,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,14,Early Stage Startup,2,178,0,1,10
32683,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,private limited company,1,11,0,50,99
31943,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,Early Stage Startup,2,32,0,100,500
33339,city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,2,Public Sector,1,39,0,500,999
29529,city_165,0.903,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,private limited company,1,55,1,100,500
32095,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Humanities,2,Early Stage Startup,1,104,0,50,99
30098,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Other,21,private limited company,5,8,0,100,500
24936,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,3,Funded Startup,1,88,0,50,99
31602,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,21,private limited company,1,7,0,10000,99999
16814,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,private limited company,5,62,0,10000,99999
19249,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,private limited company,1,83,0,50,99
9475,city_28,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,private limited company,5,11,0,1000,4999
20881,city_28,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,10,private limited company,1,114,0,1000,4999
8528,city_160,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,21,Public Sector,5,108,0,50,99
6141,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,private limited company,2,45,0,100,500
2821,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,15,private limited company,2,8,0,100,500
25495,city_142,0.727,Female,Has relevent experience,no_enrollment,Graduate,STEM,9,Funded Startup,5,37,0,100,500
28015,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,private limited company,2,162,0,500,999
405,city_165,0.903,Male,Has relevent experience,no_enrollment,Masters,STEM,19,private limited company,4,4,0,100,500
13891,city_71,0.884,Female,No relevent experience,no_enrollment,Phd,STEM,3,Public Sector,1,41,0,1000,4999
399,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,private limited company,1,190,0,50,99
8751,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,Public Sector,1,11,0,100,500
12509,city_114,0.926,Male,No relevent experience,no_enrollment,Graduate,STEM,21,private limited company,5,5,0,50,99
13083,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,10,private limited company,5,29,0,50,99
15922,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,private limited company,3,44,0,50,99
28838,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,Non-Governmental Organisation,5,74,0,1000,4999
24082,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,6,private limited company,1,8,1,10,49
1020,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,private limited company,1,162,0,500,999
14578,city_64,0.666,Male,Has relevent experience,Part time course,Graduate,STEM,9,private limited company,1,19,1,10,49
17358,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,11,Early Stage Startup,1,40,0,10,49
21933,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,private limited company,1,11,0,50,99
24152,city_83,0.923,Male,No relevent experience,no_enrollment,Masters,STEM,3,private limited company,0,30,0,10000,99999
20976,city_160,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,5,Public Sector,2,40,0,1000,4999
13150,city_16,0.91,Male,Has relevent experience,no_enrollment,Phd,STEM,21,private limited company,2,27,0,100,500
13152,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,Funded Startup,1,96,0,50,99
22689,city_98,0.949,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,Funded Startup,4,42,0,50,99
13994,city_12,0.64,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,private limited company,0,40,1,50,99
27064,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,Funded Startup,2,94,0,100,500
9571,city_173,0.878,Male,No relevent experience,Part time course,Graduate,STEM,10,Early Stage Startup,1,25,0,10,49
30854,city_43,0.516,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,Early Stage Startup,1,11,0,1,10
17519,city_142,0.727,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,private limited company,2,113,0,10,49
31692,city_160,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,21,private limited company,1,40,0,10000,99999
6052,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,21,private limited company,5,56,0,1,10
12934,city_114,0.926,Male,Has relevent experience,Part time course,Graduate,STEM,19,private limited company,2,64,0,500,999
30400,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,private limited company,1,51,0,10000,99999
26419,city_67,0.855,Female,Has relevent experience,Full time course,Graduate,STEM,6,private limited company,2,41,0,1000,4999
12117,city_74,0.579,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,private limited company,1,320,0,10,49
32534,city_102,0.804,Male,Has relevent experience,Full time course,Graduate,STEM,9,private limited company,1,74,0,5000,9999
2793,city_83,0.923,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,private limited company,5,166,0,10,49
25174,city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,private limited company,1,110,0,50,99
30484,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,21,private limited company,5,31,0,50,99
14688,city_116,0.743,Male,No relevent experience,Full time course,Masters,STEM,11,private limited company,5,97,0,50,99
20322,city_102,0.804,Male,Has relevent experience,no_enrollment,Phd,STEM,21,private limited company,5,206,0,100,500
22194,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,2,Funded Startup,1,204,0,10,49
31401,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,18,private limited company,2,116,0,10000,99999
10102,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,private limited company,0,107,0,10000,99999
15701,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,private limited company,1,140,0,1,10
21218,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,Humanities,3,private limited company,2,75,0,10000,99999
10752,city_67,0.855,Female,Has relevent experience,no_enrollment,Masters,STEM,9,private limited company,2,42,1,100,500
17460,city_16,0.91,Female,Has relevent experience,no_enrollment,Graduate,STEM,7,private limited company,1,22,0,10000,99999
9384,city_61,0.913,Male,Has relevent experience,no_enrollment,Masters,STEM,21,private limited company,5,143,0,500,999
4269,city_67,0.855,Female,Has relevent experience,no_enrollment,Graduate,STEM,14,private limited company,2,72,0,50,99
28033,city_136,0.897,Male,No relevent experience,Full time course,Graduate,STEM,3,Early Stage Startup,1,182,0,50,99
1568,city_99,0.915,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,private limited company,4,50,0,50,99
32652,city_65,0.802,Male,Has relevent experience,Full time course,Masters,STEM,5,private limited company,4,124,0,100,500
21078,city_160,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,9,private limited company,1,17,0,50,99
2855,city_16,0.91,Male,No relevent experience,no_enrollment,Masters,STEM,5,private limited company,0,31,0,10000,99999
27866,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,Funded Startup,1,31,0,50,99
24807,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,private limited company,1,55,0,50,99
2990,city_173,0.878,Male,Has relevent experience,no_enrollment,Masters,STEM,21,private limited company,3,32,1,1000,4999
28229,city_40,0.776,Male,Has relevent experience,Part time course,Graduate,STEM,18,Funded Startup,5,51,0,100,500
4162,city_102,0.804,Male,Has relevent experience,Full time course,Graduate,STEM,9,private limited company,2,22,0,5000,9999
2194,city_23,0.899,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,Funded Startup,1,19,0,10,49
21564,city_21,0.624,Male,Has relevent experience,Full time course,Masters,STEM,9,private limited company,2,46,1,50,99
17432,city_16,0.91,Female,Has relevent experience,no_enrollment,Graduate,STEM,13,private limited company,5,15,0,50,99
1988,city_36,0.893,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,private limited company,5,38,0,100,500
8540,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,Public Sector,5,52,0,1000,4999
15468,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,15,private limited company,2,65,0,100,500
1297,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,private limited company,4,86,0,5000,9999
22517,city_114,0.926,Male,No relevent experience,no_enrollment,Graduate,STEM,3,Public Sector,1,86,0,1000,4999
30676,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,21,private limited company,5,53,0,100,500
29961,city_75,0.939,Male,Has relevent experience,no_enrollment,Phd,STEM,21,private limited company,2,166,0,50,99
23505,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,private limited company,5,106,0,100,500
11751,city_138,0.836,Male,No relevent experience,no_enrollment,Graduate,STEM,6,private limited company,0,58,0,1,10
10370,city_75,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,16,Non-Governmental Organisation,2,166,0,5000,9999
5340,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,21,private limited company,0,109,0,10000,99999
9217,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,1,Early Stage Startup,1,37,0,1,10
5673,city_45,0.89,Male,No relevent experience,no_enrollment,Graduate,STEM,9,private limited company,3,51,0,50,99
25421,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,Funded Startup,1,84,0,50,99
20698,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,Non-Governmental Organisation,1,72,0,500,999
9515,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,Other,2,Public Sector,1,64,0,1000,4999
20743,city_50,0.896,Male,Has relevent experience,no_enrollment,Masters,STEM,15,private limited company,5,23,1,10000,99999
25766,city_71,0.884,Male,No relevent experience,Full time course,Masters,STEM,14,Public Sector,3,96,0,100,500
4642,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,Non-Governmental Organisation,1,8,0,1,10
16178,city_46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,private limited company,1,48,0,100,500
1829,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,private limited company,1,98,1,10,49
10529,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,21,private limited company,1,102,0,1,10
32324,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,21,private limited company,5,32,0,50,99
17083,city_160,0.92,Female,Has relevent experience,Full time course,Graduate,STEM,4,private limited company,1,7,0,5000,9999
16414,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,private limited company,1,53,0,10,49
32340,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,Funded Startup,1,161,0,10,49
18462,city_136,0.897,Male,No relevent experience,no_enrollment,Masters,STEM,8,private limited company,1,11,0,10,49
29982,city_105,0.794,Female,Has relevent experience,no_enrollment,Masters,Humanities,6,private limited company,1,182,0,50,99
29217,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,private limited company,5,67,0,5000,9999
22508,city_71,0.884,Female,No relevent experience,Part time course,Graduate,STEM,5,private limited company,1,16,0,100,500
25969,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,private limited company,5,38,0,10000,99999
29000,city_71,0.884,Male,Has relevent experience,no_enrollment,Masters,STEM,4,private limited company,2,112,0,100,500
21989,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,private limited company,4,24,0,100,500
10984,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Humanities,2,Non-Governmental Organisation,1,28,0,10000,99999
26543,city_173,0.878,Male,Has relevent experience,Part time course,Graduate,STEM,10,Public Sector,1,166,0,50,99
32043,city_21,0.624,Male,Has relevent experience,Full time course,Masters,STEM,10,private limited company,2,61,1,50,99
15343,city_46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,Public Sector,3,24,0,50,99
23185,city_173,0.878,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,private limited company,5,29,0,10,49
9600,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,Public Sector,5,11,1,10000,99999
5141,city_46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,private limited company,5,87,0,50,99
657,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,Funded Startup,1,18,0,10,49
29991,city_41,0.827,Male,Has relevent experience,no_enrollment,Graduate,Arts,9,private limited company,1,76,1,1000,4999
18759,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,private limited company,1,114,0,10000,99999
20135,city_83,0.923,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,private limited company,5,80,0,500,999
18620,city_40,0.776,Male,Has relevent experience,Full time course,Graduate,STEM,14,private limited company,0,52,0,1000,4999
24226,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,0,private limited company,1,13,0,50,99
11966,city_138,0.836,Male,Has relevent experience,no_enrollment,Masters,Humanities,2,private limited company,1,36,0,100,500
10017,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,21,private limited company,5,67,0,1000,4999
20797,city_16,0.91,Male,Has relevent experience,no_enrollment,Phd,STEM,15,private limited company,1,58,0,10000,99999
25041,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,private limited company,1,18,1,100,500
17783,city_65,0.802,Male,Has relevent experience,Full time course,Graduate,STEM,0,private limited company,2,11,0,10000,99999
6283,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,10,private limited company,5,206,0,50,99
28468,city_28,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,21,private limited company,5,88,0,10000,99999
4978,city_114,0.926,Male,Has relevent experience,Part time course,Masters,STEM,14,private limited company,2,16,0,10000,99999
28641,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,private limited company,5,95,0,1000,4999
3999,city_72,0.795,Male,Has relevent experience,no_enrollment,Masters,STEM,21,Public Sector,5,94,0,100,500
9860,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,No Major,17,private limited company,3,20,0,10,49
24366,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,private limited company,4,78,1,10000,99999
1396,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,private limited company,3,2,0,10000,99999
22954,city_105,0.794,Female,Has relevent experience,Full time course,Graduate,STEM,9,private limited company,5,206,0,100,500
1563,city_19,0.682,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,private limited company,3,25,0,100,500
29612,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,5,private limited company,1,8,1,10,49
23856,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,private limited company,2,22,0,500,999
30441,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,19,private limited company,5,90,0,100,500
11545,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,private limited company,1,120,0,1,10
2404,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,private limited company,0,18,1,50,99
19555,city_65,0.802,Male,Has relevent experience,Full time course,Graduate,STEM,8,private limited company,2,314,0,5000,9999
23365,city_101,0.558,Male,No relevent experience,no_enrollment,Graduate,STEM,0,Early Stage Startup,1,146,1,1,10
23430,city_20,0.796,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,private limited company,5,25,0,100,500
30404,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,private limited company,5,50,1,50,99
8930,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,private limited company,5,30,0,10000,99999
3920,city_106,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,private limited company,4,39,0,10000,99999
11780,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,private limited company,1,43,1,50,99
22420,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,Humanities,9,private limited company,2,226,0,10000,99999
21603,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,private limited company,1,50,0,50,99
